Month,Susceptibles,Infected,Recovered,Vaccinated (% of population),Deaths (thousands),Mean Unemployment Rate (%),US Debt (USD),US GDP (USD),Post-productivity (trillion $),Current Subsidy Quantitative Policy Level,Total Subsidies (USD),US Tax Wedge ('%' of GDP),US Federal Deficit (USD),US Federal Interest Payment (USD),Federal Reserve Fund Rate (%),US Treasury Yield Long Term (%),US Government Revenue (USD),US Health Index,Defense Imperialism Spending (USD),Income Security Spending (USD),Social Security Spending (USD),Medicare Medicaid Spending (USD),Federal Reserve Balance Sheet (USD),Inflation,US Treasury Yield,Defense Imperialism Index,Income Security Index,Social Security Index,Medicare Medicaid Index,Inflation Index,US Treasury Yield Index,Health Index,Economic Index,Reward,Reward Social Welfare
1.0,324969900.0,1397189.0,2370843.8,0.0,48.171,14.501497600295062,16906349956879.762,21466585914800.0,1.536232783872,9,0,16.304409503936768,283826526.685709,26672816000.0,0.25,1.9200000911951065,287671260000.0,[20.377628],57668490000.0,25783562000.0,88178080000.0,106704110000.0,4182632599526.575,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[20.377628],[27.360502],0.6183040060152848,0.6183040060152848
2.0,323105280.0,807701.1,4824958.0,0.0,98.349,12.902452663841792,16915165019242.19,21466585914800.0,3.010680061952,6,0.0,16.304409503936768,295247446.3671589,53359116000.0,0.25,1.9200000911951065,575342400000.0,[39.52174],113827380000.0,51035610000.0,173413700000.0,209865770000.0,4173626081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[39.52174],[53.461082],0.804486610770053,0.804486610770053
3.0,322218660.0,435985.56,6083283.0,0.0,122.16,10.978552896831042,16932984032042.723,21466585914800.0,4.54969524224,9,9006518246.575342,16.304409503936768,298924805.8650074,80070250000.0,0.25,1.9200000911951065,863013600000.0,[64.58697],170112320000.0,76454790000.0,258473950000.0,312879450000.0,4173626081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[64.58697],[80.80493],0.9046938874356047,0.9046938874356047
4.0,320963780.0,630718.0,7143397.0,0.0,141.554,10.087732928257658,16945078915928.105,21466585914800.0,6.12780998656,7,18013036493.150684,26.304409503936764,-5581386609.570148,106812465000.0,0.25,1.9200000911951065,1156566100000.0,[90.6441],226326000000.0,102068490000.0,343613670000.0,415808230000.0,4173626081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[90.6441],[109.00202],0.9117971941114036,0.9117971941114036
5.0,319504000.0,650279.7,8593773.0,0.0,172.046,8.700750539527057,16880812561739.838,21466585914800.0,7.74287392768,9,27019554739.72603,16.304409503936764,309878939.24373627,133474450000.0,0.5,1.9200000911951065,1526574900000.0,[114.209],282684880000.0,127775330000.0,428778060000.0,518668520000.0,4173626081280.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[114.209],[137.82585],0.912272551485574,0.912272551485574
6.0,318396100.0,521663.8,9820144.0,0.0,196.888,7.841520781557793,16881954439860.695,21466585914800.0,9.39030216704,2,36026072986.30137,26.304409503936764,-5549093084.840736,160122080000.0,0.25,1.9200000911951065,1831889800000.0,[139.04271],339375300000.0,153701340000.0,514010940000.0,621641100000.0,4182632599526.575,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[139.04271],[167.45003],0.8792124849338057,0.8792124849338057
7.0,317231230.0,568779.2,10937914.0,0.0,218.184,7.120198145929719,16794886654728.803,21466585914800.0,11.06224611328,10,45032591232.87671,16.304409503936764,330014837.70335007,186669300000.0,0.5,1.9200000911951065,2225423800000.0,[164.6727],396339680000.0,179821870000.0,599189000000.0,724290400000.0,4182632599526.575,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[164.6727],[197.37677],0.9515165637564539,0.9515165637564539
8.0,315152300.0,1041816.9,12543776.0,0.0,248.444,6.847257619045076,16804869160334.297,21466585914800.0,12.739384705024,0,45032591232.87671,16.304409503936764,338758108.9524269,213180580000.0,0.25,1.9200000911951065,2513094800000.0,[188.28967],453646500000.0,205999950000.0,684375300000.0,826772550000.0,4209652154266.301,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[188.28967],[227.83159],0.7902464512898271,0.7902464512898271
9.0,311331360.0,1776656.1,15629857.0,0.0,313.035,6.708244448443848,16791650414733.344,21466585914800.0,14.42204614656,9,45032591232.87671,26.304409503936764,-5537404643.040438,239706050000.0,1.0,1.9200000911951065,2824291000000.0,[204.19713],511257480000.0,232238280000.0,769594500000.0,929164400000.0,4218658672512.876,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[204.19713],[258.34326],0.5690857843357409,0.5690857843357409
10.0,305059620.0,2181236.2,21497086.0,0.49320124667335297,399.223,6.418795938342567,16752595784601.838,21466585914800.0,16.119305863168,13,54039109479.45205,26.304409503936764,-5517542372.491817,266169800000.0,0.5,1.9200000911951065,3170774800000.0,[215.25464],569356060000.0,258457470000.0,854926030000.0,1031495900000.0,4218658672512.876,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[215.25464],[288.84454],0.5535370165186309,0.5535370165186309
11.0,289440200.0,1557809.1,37739900.0,4.1474376201861665,483.595,6.250881933558282,16749236809121.18,21466585914800.0,17.823015370752,11,63045627726.02739,16.304409503936764,382405014.7752838,292586880000.0,0.75,1.9200000911951065,3481971200000.0,[226.71999],627893100000.0,284627300000.0,940361650000.0,1133786300000.0,4218658672512.876,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[226.71999],[319.5325],0.8968367351398867,0.8968367351398867
12.0,262028740.0,783637.5,65925516.0,11.965406509421323,532.758,6.070464047110404,16770174761448.754,21466585914800.0,19.53273741312,12,72052145972.60274,16.304409503936764,419121245.10988045,319038880000.0,0.5,1.9200000911951065,3769642300000.0,[246.09206],686747800000.0,310682100000.0,1026526000000.0,1235893200000.0,4245678227252.6016,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[246.09206],[350.37613],0.8662529878769649,0.8662529878769649
13.0,220890960.0,533269.75,107313670.0,24.138647882649472,559.93,5.916896729369057,16817213527396.951,18405210266672.355,19.759907209216,14,72052145972.60274,16.304409503936764,1808815892.4716263,345413320000.0,0.25,1.9094336900049358,3807998400000.0,[270.40253],692638250000.0,313287570000.0,1035213730000.0,1246093200000.0,4299717336732.0527,0.020817434816035436,0.019094336900049358,[2.8859928],[0.2794468],[11.271271],[0.9578977],[0.],[0.],[270.40253],[376.7591],0.8369171956412764,0.8369171956412764
