Day,Susceptibles,Infected,Recovered,Vaccinated (% of population),Deaths (thousands),Mean Unemployment Rate (%),US Debt (USD),US GDP (USD),Post-productivity (trillion $),Current Subsidy Quantitative Policy Level,Total Subsidies (USD),US Tax Wedge ('%' of GDP),US Federal Deficit (USD),US Federal Interest Payment (USD),Federal Reserve Fund Rate (%),US Treasury Yield Long Term (%),US Government Revenue (USD),US Health Index,Defense Imperialism Spending (USD),Income Security Spending (USD),Social Security Spending (USD),Medicare Medicaid Spending (USD),Federal Reserve Balance Sheet (USD),Inflation,US Treasury Yield,Defense Imperialism Index,Income Security Index,Social Security Index,Medicare Medicaid Index,Inflation Index,US Treasury Yield Index,Health Index,Economic Index,Reward,Reward Social Welfare
1,328111500.0,424899.12,201511.6,0.0,0.786,0.07818424571384093,16907279382572.887,21466585914800.0,53896253000.0,3,9006518246.575342,0.1630441,9278961708.887672,888881196.8876712,1.75,0.0192,9589041000.0,[1.6200399],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[1.6200399],[1.6617554],1.637602150671269,1.637602150671269
2,328034980.0,471096.75,231861.52,0.0,1.029,0.08239863332345272,16916558832343.967,21466585914800.0,106713555000.0,3,18013036493.150684,0.1630441,9279449771.079483,889369259.0794818,1.75,0.0192,9589041000.0,[2.5792155],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[2.5792155],[2.1781628],0.7727701758361031,0.7727701758361031
3,327953000.0,519401.3,265511.25,0.0,1.362,0.08594167762504158,16925838770239.55,21466585914800.0,158680070000.0,3,27019554739.72603,0.1630441,9279937895.583775,889857383.5837754,1.75,0.0192,9589041000.0,[3.5181804],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[3.5181804],[2.6642532],0.7483046616532695,0.7483046616532695
4,327865820.0,569498.8,302611.38,0.0,1.779,0.08823299226609443,16935119196285.316,21466585914800.0,209973180000.0,3,36026072986.30137,0.1630441,9280426045.764755,890345533.7647563,1.75,0.0192,9589041000.0,[4.4382815],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[4.4382815],[3.1255217],0.7269326637654627,0.7269326637654627
5,327773500.0,621141.75,343289.88,0.0,2.298,0.09022030485829326,16944400110506.94,21466585914800.0,260938200000.0,3,45032591232.87671,0.1630441,9280914221.623775,890833709.6237755,1.75,0.0192,9589041000.0,[5.3354774],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[5.3354774],[3.5876622],0.7140374372580376,0.7140374372580376
6,327676100.0,674160.75,387657.16,0.0,3.011,0.09275566801366472,16953681512930.102,21466585914800.0,311404400000.0,3,54039109479.45205,0.1630441,9281402423.162182,891321911.1621834,1.75,0.0192,9589041000.0,[6.1891074],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[6.1891074],[4.0153446],0.6743060788433272,0.6743060788433272
7,327574080.0,728028.56,435811.5,0.0,3.566,0.09498447693511569,16962963403580.482,21466585914800.0,361556480000.0,3,63045627726.02739,0.1630441,9281890650.381332,891810138.3813311,1.75,0.0192,9589041000.0,[7.0782185],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[7.0782185],[4.43624],0.6919924913919048,0.6919924913919048
8,327467840.0,782230.9,487813.53,0.0,4.27,0.09669695661147891,16972245782483.766,21466585914800.0,411532360000.0,3,72052145972.60274,0.1630441,9282378903.28257,892298391.2825694,1.75,0.0192,9589041000.0,[7.9338694],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[7.9338694],[4.8551126],0.6717672333264337,0.6717672333264337
9,327357950.0,836277.06,543687.1,0.0,5.346,0.09902789552270569,16981528649665.633,21466585914800.0,461001230000.0,3,81058664219.17809,0.1630441,9282867181.867249,892786669.867249,1.75,0.0192,9589041000.0,[8.705982],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[8.705982],[5.2288203],0.6043843938794566,0.6043843938794566
10,327244700.0,889751.3,603421.25,0.0,6.972,0.10127254685157766,16990812005151.77,21466585914800.0,510189040000.0,3,90065182465.75343,0.1630441,9283355486.136723,893274974.1367213,1.75,0.0192,9589041000.0,[9.354585],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[9.354585],[5.5994925],0.5315935998760534,0.5315935998760534
