Month,Susceptibles,Infected,Recovered,Vaccinated (% of population),Deaths (thousands),Mean Unemployment Rate (%),US Debt (USD),US GDP (USD),Post-productivity (trillion $),Current Subsidy Quantitative Policy Level,Total Subsidies (USD),US Tax Wedge ('%' of GDP),US Federal Deficit (USD),US Federal Interest Payment (USD),Federal Reserve Fund Rate (%),US Treasury Yield Long Term (%),US Government Revenue (USD),US Health Index,Defense Imperialism Spending (USD),Income Security Spending (USD),Social Security Spending (USD),Medicare Medicaid Spending (USD),Federal Reserve Balance Sheet (USD),Inflation,US Treasury Yield,Defense Imperialism Index,Income Security Index,Social Security Index,Medicare Medicaid Index,Inflation Index,US Treasury Yield Index,Health Index,Economic Index,Reward,Reward Social Welfare
1.0,324969900.0,1397189.0,2370843.8,0.0,48.171,12.52560322247708,17040422870484.832,21466585914800.0,1.506492678144,3,135097773698.63017,16.304409503936768,9244872010.033745,895886666.0337454,1.75,1.9200000911951065,287671260000.0,[20.377628],57413698000.0,24789045000.0,88158910000.0,106843830000.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[20.377628],[23.787186],0.6215931063717599,0.6215931063717599
2.0,323105280.0,807701.1,4824958.0,0.0,98.349,12.557403630921602,17317995277927.785,21466585914800.0,3.241042771968,3,405293321095.89014,16.304409503936768,9259472311.815197,910486967.8151964,1.75,1.9200000911951065,575342400000.0,[39.52174],112975330000.0,48460280000.0,173473970000.0,210241100000.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[39.52174],[49.50029],0.8011694623805113,0.8011694623805113
3.0,322218660.0,435985.56,6083283.0,0.0,122.16,10.819370163556066,17461656442530.902,21466585914800.0,4.769469431808,3,540391094794.5199,16.304409503936768,9308121891.923168,918041379.9231672,1.75,1.9200000911951065,863013600000.0,[64.58697],168536980000.0,72131520000.0,259734260000.0,313638350000.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[64.58697],[71.93856],0.9116374469708167,0.9116374469708167
4.0,320963780.0,630718.0,7143397.0,0.0,141.554,9.802133989314454,17741127894327.03,21466585914800.0,6.637736165376,3,810586642191.7794,16.304409503936768,9322822083.390732,932741571.3907299,1.75,1.9200000911951065,1150684800000.0,[90.6441],224098630000.0,95802750000.0,346282200000.0,417035650000.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[90.6441],[100.72721],0.9249585465424328,0.9249585465424328
5.0,319504000.0,650279.7,8593773.0,0.0,172.046,9.022756900363145,18021040711620.824,21466585914800.0,8.526364672,3,1080782189589.039,16.304409503936768,9337545490.672577,947464978.6725775,1.75,1.9200000911951065,1438356000000.0,[114.209],279660270000.0,119473990000.0,432830120000.0,520432880000.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[114.209],[129.9327],0.9139655160533399,0.9139655160533399
6.0,318396100.0,521663.8,9820144.0,0.0,196.888,8.090783784125467,18301395591454.86,21466585914800.0,10.453887483904,3,1350977736986.3018,16.304409503936768,9352292150.433132,962211638.4331324,1.75,1.9200000911951065,1726027100000.0,[139.04271],335221900000.0,143145220000.0,519378100000.0,623830200000.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[139.04271],[159.9279],0.8902740101695024,0.8902740101695024
7.0,317231230.0,568779.2,10937914.0,0.0,218.184,7.231434173841998,18446939009344.24,21466585914800.0,12.1431916544,3,1486075510684.9333,16.304409503936768,9359947730.622334,969867218.6223323,5.5,1.9200000911951065,2013698500000.0,[164.6727],390783570000.0,166816460000.0,605926060000.0,727227430000.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[164.6727],[186.90668],0.9598196252634399,0.9598196252634399
8.0,315152300.0,1041816.9,12543776.0,0.0,248.444,6.8042221208216205,18727966504620.445,21466585914800.0,14.127119466496,3,1756271058082.1965,16.304409503936768,9374729769.938545,984649257.9385464,5.5,1.9200000911951065,2301369500000.0,[188.28967],446345180000.0,190487690000.0,692473950000.0,830624700000.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[188.28967],[217.94249],0.7968733840844565,0.7968733840844565
9.0,311331360.0,1776656.1,15629857.0,0.0,313.035,6.980083185780128,18874290276452.418,21466585914800.0,15.817523593216,1,1891368831780.8281,16.304409503936768,376380843.4185715,992819627.4185717,9.0,1.9200000911951065,2589040800000.0,[204.19713],501906870000.0,214158930000.0,779021900000.0,934021960000.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[204.19713],[244.70174],0.48569259531007747,0.48569259531007747
10.0,305059620.0,2181236.2,21497086.0,0.49320124667335297,399.223,6.873438961631672,19020557403687.395,21466585914800.0,17.504472662016,14,2026466605479.4597,16.304409503936768,345720540.2244606,1000515292.2244602,9.25,1.9200000911951065,2876712200000.0,[215.25464],557468500000.0,237501420000.0,865569870000.0,1037419200000.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[215.25464],[271.68234],0.4706477690998801,0.4706477690998801
