Timestep,Susceptibles,Infected,Recovered,US Debt,US GDP,Post-productivity,Current Subsidy Quantitative Policy Level,Total Subsidies,US Tax Wedge,US Federal Deficit,US Federal Interest Payment,US Government Revenue,US Health Index,Defense Imperialism Spending,Income Security Spending,Social Security Spending,Medicare Medicaid Spending,Federal Reserve Balance Sheet,Inflation,Defense Imperialism Index,Income Security Index,Social Security Index,Medicare Medicaid Index,Inflation Index,US Treasury Yield Index,Reward,Reward Social Welfare
210,49753776000.0,2774925800.0,16834994000.0,16984852394615.967,21466585914800.0,56241123000.0,0,0.0,0.1630441,416214009.75115967,1032652568.8289741,9589041298.803843,[-40.17418],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.3237473865960439,0.3237473865960439
240,53222183000.0,2982866200.0,23020780000.0,16997350589016.783,21466585914800.0,56242530000.0,0,0.0,0.1630441,416973852.925375,1033412412.0031891,9589041298.803843,[-29.026508],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.5774538879551322,0.5774538879551322
270,56422570000.0,3107496400.0,29557897000.0,17009871600207.71,21466585914800.0,56239354000.0,0,0.0,0.1630441,417735083.27454185,1034173642.3523563,9589041298.803843,[-10.080069],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.7263593781897676,0.7263593781897676
300,59443053000.0,3184331800.0,36322720000.0,17022415469843.254,21466585914800.0,56233525000.0,0,0.0,0.1630441,418497703.33109856,1034936262.4089131,9589041298.803843,[13.34276],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.8125174326471694,0.8125174326471694
330,61773554000.0,3229415700.0,43809270000.0,17034982239653.94,21466585914800.0,56232170000.0,0,0.0,0.1630441,419261715.6321049,1035700274.7099183,9589041298.803843,[39.709736],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.8798482328443851,0.8798482328443851
360,63230435000.0,3250494000.0,52193448000.0,17047571951446.48,21466585914800.0,56231810000.0,0,0.0,0.1630441,420027122.7192497,1036465681.797063,9589041298.803843,[68.31543],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.9241866587808618,0.9241866587808618
365,63405110000.0,3252452000.0,53660504000.0,17049672470155.44,22103000000000,56231570000.0,0,0.0,0.1630441,420154826.3500385,1036593385.4278536,9589041298.803843,[73.22937],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.00096243],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],-0.6126286316685963,0.9284236891861695
390,64065733000.0,3258322700.0,61212460000.0,17053779568510.38,22103000000000,57896575000.0,0,0.0,0.1630441,164407089.36537933,1065129370.6123474,9873325020.972996,[98.170334],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.00096243],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],0.9799982406454708,0.9799982406454708
420,64515260000.0,3260674000.0,70622710000.0,17058716558921.748,22103000000000,57892856000.0,0,0.0,0.1630441,164715423.1130619,1065437704.3600293,9873325020.972996,[128.54613],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.00096243],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],0.9874628541414718,0.9874628541414718
450,64754156000.0,3261249000.0,80245375000.0,17063662808305.834,22103000000000,57888784000.0,0,0.0,0.1630441,165024335.11865425,1065746616.3656214,9873325020.972996,[159.09215],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.00096243],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],0.9895371741516352,0.9895371741516352
480,64867115000.0,3261363500.0,89994440000.0,17068618334027.182,22103000000000,57884905000.0,0,0.0,0.1630441,165333826.46663857,1066056107.7136055,9873325020.972996,[189.68266],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.00096243],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],0.9899539218759729,0.9899539218759729
