Timestep,Susceptibles,Infected,Recovered,US Debt,US GDP,Post-productivity,Current Subsidy Quantitative Policy Level,Total Subsidies,US Tax Wedge,US Federal Deficit,US Federal Interest Payment,US Government Revenue,US Health Index,Defense Imperialism Spending,Income Security Spending,Social Security Spending,Medicare Medicaid Spending,Federal Reserve Balance Sheet,Inflation,Defense Imperialism Index,Income Security Index,Social Security Index,Medicare Medicaid Index,Inflation Index,US Treasury Yield Index,Reward,Reward Social Welfare
210,67896426000.0,146917310.0,1320354400.0,16984852394615.967,21466585914800.0,49028764000.0,0,0.0,0.1630441,416214009.75115967,1032652568.8289741,9589041298.803843,[200.76001],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.728468507279582,0.728468507279582
240,77392134000.0,170476050.0,1663219000.0,16997350589016.783,21466585914800.0,47689753000.0,0,0.0,0.1630441,416973852.925375,1033412412.0031891,9589041298.803843,[229.21997],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.6695426785864389,0.6695426785864389
270,86816930000.0,204426850.0,2066608400.0,17009871600207.71,21466585914800.0,45846934000.0,0,0.0,0.1630441,417735083.27454185,1034173642.3523563,9589041298.803843,[256.73694],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.581661719575777,0.581661719575777
300,96129600000.0,250330060.0,2570175700.0,17022415469843.254,21466585914800.0,47613424000.0,0,0.0,0.1630441,418497703.33109856,1034936262.4089131,9589041298.803843,[283.1502],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.6133547668452353,0.6133547668452353
330,104735120000.0,303907620.0,3773219000.0,17034982239653.94,21466585914800.0,47885857000.0,0,0.0,0.1630441,419261715.6321049,1035700274.7099183,9589041298.803843,[308.83395],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.6136352053364384,0.6136352053364384
360,112341350000.0,355041800.0,5977992000.0,17047571951446.48,21466585914800.0,50163347000.0,0,0.0,0.1630441,420027122.7192497,1036465681.797063,9589041298.803843,[334.70978],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.017,[0.],[0.],[0.],[0.],[0.],[0.],0.7425927178851444,0.7425927178851444
365,113513420000.0,362610370.0,6442041300.0,17049672470155.44,21667000000000,50199732000.0,0,0.0,0.1630441,420154826.3500385,1036593385.4278536,9589041298.803843,[339.10748],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.000769],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],-0.8390066636102129,0.7022390930068221
390,118972790000.0,394642500.0,9169086000.0,17058652207570.857,21667000000000,51185320000.0,0,0.0,0.1630441,359458762.40346146,1065421521.9047744,9678565499.22734,[361.62692],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.000769],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],0.7568969258849058,0.7568969258849058
420,124660300000.0,420276400.0,13318083000.0,17069446416446.627,21667000000000,51562447000.0,0,0.0,0.1630441,360132901.62566185,1066095661.1269747,9678565499.22734,[389.82904],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.000769],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],0.797933224456749,0.797933224456749
450,129430650000.0,433772400.0,18396377000.0,17080260869089.793,21667000000000,53827300000.0,0,0.0,0.1630441,360808305.14780045,1066771064.6491123,9678565499.22734,[419.15808],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.000769],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],0.8788569344896322,0.8788569344896322
480,133301230000.0,439470980.0,24382226000.0,17091095603466.1,21667000000000,54252980000.0,0,0.0,0.1630441,361484975.3409805,1067447734.8422921,9678565499.22734,[449.21878],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.000769],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],0.9019734607999063,0.9019734607999063
510,136280050000.0,441503900.0,31263513000.0,17101950657612.484,21667000000000,54318985000.0,0,0.0,0.1630441,362162914.5807514,1068125674.0820645,9678565499.22734,[479.62625],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.000769],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],0.9090674831640291,0.9090674831640291
540,138370200000.0,442068670.0,39034937000.0,17112826069637.229,21667000000000,54273466000.0,0,0.0,0.1630441,362842125.2471237,1068804884.7484362,9678565499.22734,[510.1735],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.000769],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],0.9099032559373575,0.9099032559373575
570,139581050000.0,442184600.0,47686107000.0,17123721877720.07,21667000000000,54300980000.0,0,0.0,0.1630441,363522609.7245636,1069485369.2258766,9678565499.22734,[540.76385],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.000769],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],0.9107379613910854,0.9107379613910854
600,140001150000.0,442202100.0,57128130000.0,17134638120112.361,21667000000000,54456603000.0,0,0.0,0.1630441,364204370.4020157,1070167129.9033272,9678565499.22734,[571.3638],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.000769],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],0.9148650314978455,0.9148650314978455
630,140023550000.0,442204160.0,66967867000.0,17145574835137.2,21667000000000,54514550000.0,0,0.0,0.1630441,364887409.67289734,1070850169.1742105,9678565499.22734,[601.96545],1852054794.5205479,830136986.3013699,2843835616.4383564,3446575342.4657536,4000000000000.0,0.015829043893851532,[0.0077169],[0.000769],[0.03111536],[0.00266246],[-1.5829043],[-0.00060508],0.9161944221478363,0.9161944221478363
